published;INSTANSI;KODE;company;amount;NOMOR AWAL;code;lembar;total
2010-06-21;DINKES.SUP;8083;83;10;5352;5571;220;2,200
2010-06-21;DINKES.SUP;8083;83;4;0;5572;1;4
2010-06-23;DPU.SUP;8026;26;10;5573;5598;26;260
2010-07-27;HIB ;8017;17;10;5599;5628;30;300
2010-08-02;DINKES;8083;83;10;5629;5636;8;80
2010-08-31;KESPEL;8053;53;10;5637;5646;10;100
2010-09-01;KESPEL;8053;53;10;5647;5661;15;150
2010-09-06;BUPATI;8056;56;10;5662;5749;88;880
2010-09-06;HIB ;8017;17;10;5750;5779;30;300
2010-10-12;DINKES.SUP;8083;83;10;5780;5834;55;550
2010-10-16;DPU.SUP;8026;26;10;5835;5944;110;1,100
2010-10-22;HIB ;8017;17;10;5945;5974;30;300
2010-10-27;DINKES.SUP;8083;83;10;5975;6024;50;500
2010-11-04;DINKES;8083;83;10;6025;6094;70;700
2010-11-11;DINKES.SUP;8083;83;10;6293;6336;44;440
2010-11-27;DINKES.SUP;8083;83;10;6337;6391;55;550
2010-11-30;HIB ;8017;17;10;6392;6421;30;300
2010-12-18;DPU.SUP;8026;26;10;6422;6532;111;1,110
2011-03-21;BUPATI;8056;56;10;6533;6564;32;320
2011-03-21;BUPATI;8056;56;6;0;6565;1;6
2011-03-22;DPU.SUP;8026;26;10;6566;6700;135;1,350
2011-03-22;DPU.SUP;8026;26;10;6801;6815;15;150
2011-04-04;DINKES.SUP;8067;67;5;7125;7484;360;1,800
2011-05-03;PERINDAG;8062;62;10;7815;7912;98;980
2011-05-05;DENBEKANG;8001;1;10;7913;7972;60;600
2011-05-30;INFOKOM;8089;89;10;7973;7982;10;100
2011-06-06;DENBEKANG;8001;1;10;7983;8022;40;400
2011-08-13;BPMK;8085;85;10;8023;8032;10;100
2011-08-15;BUPATI;8056;56;10;8033;8076;44;440
2011-08-15;DENBEKANG;8001;1;10;8077;8136;60;600
2011-09-06;DINKES.SUP;8067;67;10;8137;8180;44;440
2011-09-07;DENBEKANG;8001;1;10;8181;8240;60;600
2011-09-17;DPU.SUP;8026;26;10;8241;8522;282;2,820
2011-10-04;DISTAN.SUP;8076;76;10;8523;8582;60;600
2011-10-15;HIB;8017;17;10;8583;8600;18;180
2011-10-01;DENBEKANG;8001;1;10;8601;8700;100;1,000
2011-10-15;HIB;8017;17;10;8701;8702;2;20
2011-11-02;DENBEKANG;8001;1;10;8703;8802;100;1,000
2011-11-11;DPU.SUP;8026;26;10;8803;8912;110;1,100
2011-12-01;DENBEKANG;8001;1;10;8913;9012;100;1,000
2011-12-05;HIB;8017;17;10;9013;9032;20;200
2011-12-15;BUPATI;8056;56;10;9033;9072;40;400
2012-01-06;DENBEKANG;8001;1;10;9073;9172;100;1,000
2012-02-01;DENBEKANG;8001;1;10;9173;9272;100;1,000
2012-03-02;POM;8092;92;10;9273;9282;10;100
2012-03-19;HIB;8017;17;10;9283;9302;20;200
2012-03-01;DENBEKANG;8001;1;10;9301;9400;100;1,000
2012-04-02;DENBEKANG;8001;1;10;9403;9502;100;1,000
2012-04-03;BUPATI;8056;56;10;9503;9568;66;660
2012-04-17;POM;8092;92;10;9569;9578;10;100
2012-05-02;POM;8092;92;10;9579;9588;10;100
2012-05-19;DPU.SUP;8026;26;10;9589;9600;12;120
2012-04-26;POLRES BIAK;8002;2;10;9601;9900;300;3,000
2012-05-02;DENBEKANG;8001;1;10;9901;10000;100;1,000
2012-05-19;DPU.SUP;8026;26;10;10001;10085;85;850
2012-05-23;BPMK;8085;85;10;10086;10095;10;100
2012-05-26;POLRES BIAK;8002;2;10;10096;10155;60;600
2012-06-04;DENBEKANG;8001;1;10;10156;10215;60;600
2012-06-04;POM;8092;92;10;10216;10225;10;100
2013-06-16;PERINDAG;8062;62;10;10226;10262;37;370
2012-06-16;FAJAR PAPUA/DPRD.SUP;8093;93;10;10263;10300;38;380
2012-06-16;FAJAR PAPUA/DPRD.SUP;8093;93;10;10301;10328;28;280
2012-06-19;FAJAR PAPUA/DPRD.SUP;8093;93;10;10329;10372;44;440
2012-07-02;FAJAR PAPUA/DPRD.SUP;8093;93;10;10373;10400;28;280
2012-06-16;FAJAR PAPUA/DPRD.SUP;8093;93;10;10401;10500;100;1,000
2012-07-02;FAJAR PAPUA/DPRD.SUP;8093;93;10;10501;10505;5;50
2012-07-03;POM;8092;92;10;10506;10515;10;100
2012-07-09;DENBEKANG;8001;1;10;10516;10615;100;1,000
2012-07-13;POLRES BIAK;8002;2;10;10616;10915;300;3,000
2012-07-20;BUPATI;8056;56;10;10916;10981;66;660
2012-08-07;POM;8092;92;10;10982;10991;10;100
2012-09-04;POM;8092;92;10;10992;11000;9;90
2012-08-01;DENBEKANG;8001;1;10;11001;11100;100;1,000
2012-08-23;POLRES BIAK;8002;2;10;11101;11200;100;1,000
2012-08-14;POLRES SUPIORI;8002;2;10;11201;11400;200;2,000
2012-09-04;POM;8092;92;10;0;11401;1;10
2012-09-22;DPRD SUPIORI;8093;93;10;11402;11445;44;440
2012-10-02;POM;8092;92;10;11446;11455;10;100
2012-10-09;DENBEKANG;8001;1;10;11456;11500;45;450
2012-09-04;DENBEKANG;8001;1;10;11501;11601;100;1,000
